old; new
Parabutsch; Ратково
Chmeleschen / Bzk. Karlsbad (Sudetenland); Chmelištná
Neustuttgart; Nové Sedlo
Kreidelwitz / Kreis Glogau; Křelovice
Eidorf; Eitorf
Untermolbitz / Altenburg-Thüringen; Altenburg
Pedwahlen; Pedvāle
Stobnitt / Ostpreußen; Stobnica
Langenkorn; Langenhorn
Nivilingen / Saargebiet; Namborn
Itzehohe; Itzehoe
Brackweide; Brackwede
Brustow; Bristow
Marktlangendorf / Krs. Sternberg (Sudetenland); Dlouhá Loučka
Vohrde bei Bassum / Niedersachsen; Bassum
Hannover-Münden; Hann
Klein-Biesnitz / Görlitz; Görlitz
Buchenhoeh / Oberschlesien; Żyrowa
Gölriehenfeld; Goelriehenfeld
Dortmund-Oesoel; Oespel
Kaminsker-Hauland / Posen; Kamionka
Drensteinfurth / Westfalen; Drensteinfurt
Breitenmarkt; Sieraków Śląski
Hugsweiler; Hugsweier
Oldenburg-Ostenburg; Osternburg
Conradstal / Schlesien; Konradów
Grünmetterstetten Kreis Horb am Neckar; Grünmettstetten
Oberheiduk; Chorzów
Neurettendorf/ Krs.Königinhof später Krs.Trautenau; Kocbeře
Neurettendorf/ Krs.Königinhof,später Krs.Trautenau; Kocbeře
Witschenske / Krs. Lissa; Wyskoć
Parberg / Bayern; Parsberg
Rehberg-Schätzenreith / Sudetenland; Schätzova Mýť 
Vahnerow / Pommern; Waniorowo
Oberspay / Krs. St. Goar; Oberwesel
Wredensitz; Koeru
Ordruf / Thüringen; Ohrdruf 
Altsiwatz; Stari Sivac
Saleschen / Ostpreußen; Zalec
Tomaschow / Lodz; Tomaszów Mazowiecki
Altbeelitz / Krs. Friedeberg Hinterpommern; Stare Bielice
Speinshard; Speinshart
Geversmühlen / Mecklenburg-Vorpommen; Grevesmühlen
Elsterwerder-Biehla / Brandenburg; Elsterwerda-Biehla
Krothmaißling; Cham
Klosterneuendorf / Kreis Garderlegen; Kloster Neuendorf
Garmisch-Partenkirschen; Garmisch-Partenkirchen
Feiburg / Breisgau; Freiburg 
Erkenrechtsweiler / Schwäbische Alb; Erkenbrechtsweiler
Jagertow / Kreis Belgrad (Pommern); Ogartowo
Möhnsee-Körbecke; Möhnesee-Körbecke
Koprvnica; Koprivnica
Freekenhorst; Freckenhorst
Yukaribalakur Türkei; Yukarıhacıbekir
Sabelowka Kasachstan; Забеловка
Neunkrichen (Saar); Neunkirchen
Heedfeld b. Lüdenscheid; Heedfeld
Bant bei Wilhelmshaven; Bant
Mettingen Krs. Tecklenburg; Mettingen
Siegsdorf bei Traunstein; Siegsdorf
Hathenow b. Küstrin / Ostbrandenburg; Hathenow
Schotten im Vogelsberg; Schotten
Rheinhausen (jetzt Duisburg); Rheinhausen
Gut Burental; Sowetsk
Mollnitz a. d. Elbe; Mollnitz
Köln- Mühlheim; Köln-Mülheim
Großlomnitz- Zips; Veľká Lomnica
Wupperthal- Vohwinkel; Vohwinkel
Passel bei Plettenberg; Passel
Pfaffing bei Chieming; Pfaffing
Krs. Havelberg; Havelberg
Großörner Krs. Mansfeld; Großörner
Lohne Kreis Vechta; Lohne
Pippensen (heute Buxtehude); Buxtehude
Groß- Priesen / Elbe; Velké Březno
Zweenfurth bei Leipzig; Zweenfurth
Seeth bei Husum; Seeth
Einsiedel b. Marienbad; Einsiedel
Schaaken Kreis Samland / Ostpreußen; Schaaken
Gut Quickendorf / Krs. Frankenstein (Schlesien); Lutomierz
Holzhausen bei Homberg / Krs. Fritzlar; Holzhausen
Schwabhausen bei München; Schwabhausen
Neurettendorf/ Krs.Königinhof, später Krs.Trautenau; Nové Kocbeře
Stadtbergen Krs. Augsburg; Stadtbergen
Haus Kalbeck bei Goch / NRW-Kleve, Weeze; Goch
Habighorst bei Celle; Habighorst
Arenberg bei Koblenz; Arenberg
Aerzen bei Hameln; Aerzen
Stuttgart-Bad Cannstadt; Bad Cannstatt
Aumühle bei Hamburg; Aumühle
Altbeelitz / Krs. Friedeberg, Hinterpommern; Stare Bielice
Stein bei Nürnberg; Stein
Feldkirchen- Westerhang / Landkreis Rosenheim; Feldkirchen
Lehrte bei Hannover; Lehrte
Gaschwitz Kreis Leipzig-Land; Gaschwitz
Bovenden bei Göttingen; Bovenden
Wunstorf OT Idensen; Wunstorf
Walsum (jetzt Duisburg); Duisburg
Rheydt (jetzt Mönchengladbach); Mönchengladbach
Dingen (jetzt Hamminken); Hamminkeln
Schippach (jetzt Elsenfeld); Elsenfeld
Haren an der Ems; Haren
Harmonie (jetzt Eitorf); Eitorf
Hüls (jetzt Krefeld); Krefeld
Alstätte (jetzt Ahaus); Ahaus
Erpen (jetzt Dissen); Dissen
Yukaribalakur, Türkei; Yukarıhacıbekir
Elten (jetzt Emmerich); Emmerich
Lank-Latum (jetzt Meerbusch); Meerbusch
Bad Godesberg (jetzt Bonn); Bonn
Sabelowka, Kasachstan; Забеловка
Bensberg (jetzt Bergisch Gladbach); Bergisch Gladbach
Karl-Marx-Stadt (jetzt Chemnitz); Chemnitz
Hehlrath (jetzt Eschweiler); Eschweiler
Rhede (Westf.); Rhede
Herborn (Dillkreis); Herborn